jun,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
01,83,123,153,170,-1,-1,241,235,244,277,320,323,316,336,329,361,325,302,-1,-1,-1,-1,250,169
02,-1,-1,-1,-1,230,280,263,306,321,306,331,305,355,396,382,348,333,320,328,300,286,261,275,171
03,103,132,105,186,201,246,271,293,287,309,320,346,367,337,318,295,286,284,274,262,227,195,190,161
04,127,164,177,202,207,269,308,309,350,340,365,367,347,367,354,324,311,276,281,293,251,229,185,151
05,150,103,71,197,191,236,291,268,296,343,373,378,374,406,331,332,316,332,267,306,266,130,287,172
06,162,117,1,112,212,239,299,297,336,361,350,361,361,359,331,308,291,308,291,226,198,222,215,189
07,171,172,190,165,207,235,244,281,311,344,345,350,335,353,328,222,317,340,289,233,194,217,164,160
08,134,170,128,118,144,171,204,241,303,327,368,372,375,326,332,328,296,269,309,257,266,226,147,158
09,140,123,114,139,191,206,262,276,286,323,376,352,382,338,300,301,151,138,278,247,217,113,0,85
10,213,141,140,161,123,147,93,3,82,249,359,369,388,384,374,309,211,8,115,265,242,268,241,188
11,119,94,89,124,196,253,262,318,291,285,296,297,306,353,314,279,320,322,232,280,269,220,194,170
12,122,91,155,219,196,174,216,220,249,229,258,316,318,305,318,290,330,268,273,265,212,173,210,169
13,13,89,0,27,147,244,286,265,357,359,345,397,380,341,373,334,331,282,263,222,147,173,96,58
14,79,111,116,190,204,115,234,211,243,269,276,315,312,349,271,278,274,243,194,206,230,154,130,122
15,127,151,158,177,176,176,220,265,260,280,283,302,320,343,332,329,321,273,261,237,164,192,153,115
16,127,68,87,127,108,151,193,178,182,229,254,284,283,259,254,317,111,131,149,240,298,225,163,109
17,105,101,115,116,130,210,225,280,294,364,383,365,372,336,265,196,250,256,246,238,234,201,138,133
18,105,117,145,177,201,218,245,260,321,293,376,365,370,332,371,334,210,267,217,174,170,124,113,130
19,142,133,167,156,184,158,231,262,290,317,336,334,325,349,324,322,310,298,279,248,259,217,161,131
20,153,145,118,154,170,203,194,208,240,261,293,293,301,353,358,342,372,318,295,264,248,234,198,163
21,150,133,158,188,187,181,202,273,280,296,313,307,333,313,299,278,268,304,292,270,253,184,179,204
22,160,221,215,215,242,246,267,287,334,347,317,333,351,346,359,328,295,250,217,189,194,170,185,129
23,83,75,127,165,150,205,207,216,279,271,300,299,313,294,301,238,14,269,257,219,196,160,143,104
24,122,120,110,87,126,139,176,236,239,254,270,263,287,238,225,252,245,227,147,148,128,98,104,70
25,130,105,3,99,115,215,247,268,299,311,341,367,349,325,288,247,246,196,129,147,110,93,95,86
26,104,100,121,153,180,160,190,196,238,282,304,322,309,342,301,278,311,262,232,226,197,198,155,189
27,196,151,140,98,164,209,243,250,249,278,311,318,313,328,317,331,316,294,309,261,202,166,144,116
28,114,118,121,174,152,250,287,264,253,258,260,282,275,340,322,292,253,216,177,163,145,180,140,112
29,116,161,131,136,136,176,206,258,243,280,288,258,272,274,274,275,222,211,188,142,116,101,82,118
30,102,108,93,128,205,217,209,223,233,225,229,250,235,226,221,254,233,267,144,158,147,-1,-1,-1,-1
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
