apr,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h,""
01,54,34,41,25,2,0,0,0,0,5,9,3,27,31,32,42,46,42,44,61,59,57,81,43,""
02,40,53,16,1,0,0,0,0,1,1,5,11,24,20,30,47,48,78,65,28,37,68,54,38,""
03,12,37,49,8,0,0,0,0,0,0,26,15,24,39,18,29,36,59,42,21,70,56,41,45,""
04,52,21,6,2,1,10,2,0,0,17,30,35,38,23,23,26,54,57,64,87,92,67,75,44,""
05,53,21,3,1,0,0,0,0,0,0,18,31,14,20,24,30,40,47,34,54,43,45,19,32,""
06,35,15,133,103,1,0,0,0,0,0,18,15,26,22,29,27,31,36,55,42,68,42,35,37,""
07,15,0,0,0,42,22,29,22,20,27,24,24,37,51,37,34,57,33,81,77,78,44,37,41,""
08,41,47,35,37,29,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
09,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
17,-1,-1,-1,-1,15,21,6,6,9,5,16,13,8,9,31,46,56,56,52,72,137,145,81,84,""
18,41,52,44,15,-1,-1,-1,-1,6,13,28,20,19,6,11,3,15,7,48,17,61,33,39,-1,""
19,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,8,29,34,56,12,42,43,63,71,49,16,42,""
22,56,44,29,48,31,42,29,22,15,21,21,18,14,23,27,28,34,37,51,78,47,25,12,38,""
23,53,49,48,14,43,12,13,24,17,15,33,27,20,22,29,39,58,83,80,96,110,63,75,84,""
24,78,89,75,57,27,51,30,22,16,23,29,19,11,23,24,29,53,44,28,34,28,96,90,86,""
25,90,94,63,71,57,32,29,19,18,25,24,21,16,27,28,46,68,76,119,111,97,112,110,96,""
26,122,104,75,44,87,44,20,26,29,29,35,38,46,33,45,52,55,80,117,129,117,122,131,123,""
27,149,116,101,27,25,27,19,21,16,28,40,48,39,30,45,61,79,105,105,96,97,96,60,66,""
28,111,91,44,77,68,37,18,28,33,38,40,33,25,34,47,67,68,82,92,88,70,75,100,118,""
29,110,88,55,53,36,23,27,14,17,21,28,3,15,25,32,43,90,62,37,66,64,81,78,140,""
30,84,142,35,72,33,52,26,24,26,7,13,19,33,6,1,11,14,27,16,24,24,30,45,29,""
31,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,""
