Mar,00h,01h,02h,03h,04h,05h,06h,07h,08h,09h,10h,11h,12h,13h,14h,15h,16h,17h,18h,19h,20h,21h,22h,23h
1,141,181,149,173,135,143,165,150,127,116,124,129,94,107,58,68,54,66,70,67,74,107,138,143
2,108,171,143,167,136,117,109,116,89,105,116,111,105,101,69,74,69,96,89,98,125,100,136,142
3,201,180,181,193,166,154,148,143,142,165,112,106,90,79,94,69,69,90,97,106,130,123,144,166
4,188,189,181,169,164,166,152,145,155,139,163,106,116,93,92,84,102,81,89,104,112,141,137,169
5,144,142,127,181,162,148,143,136,138,144,143,129,104,98,97,87,80,84,97,109,102,124,125,152
6,175,141,190,154,177,158,128,137,150,145,128,129,116,115,99,79,100,100,97,113,103,130,124,145
7,174,148,186,166,175,150,157,162,149,160,134,103,102,102,85,80,84,94,88,108,89,119,160,167
8,168,167,182,185,161,137,158,156,121,132,146,106,119,87,88,72,81,72,88,76,135,131,152,138
9,156,185,158,140,131,125,153,147,144,142,140,107,112,90,67,49,49,61,68,78,94,120,119,118
10,118,75,55,33,36,71,106,100,107,75,86,92,103,80,66,49,62,82,72,226,87,80,127,137
11,132,96,135,133,113,127,103,60,76,101,109,127,101,115,71,57,49,77,52,111,86,89,131,134
12,109,98,110,73,127,136,73,77,104,87,117,109,95,91,79,43,66,61,60,75,79,107,100,147
13,125,134,148,160,122,144,120,54,111,103,102,128,78,83,65,49,62,51,37,62,93,72,126,108
14,110,126,148,140,169,125,114,103,119,95,92,92,97,78,75,54,55,69,60,40,75,100,96,133
15,118,125,103,133,90,132,126,164,157,166,118,106,85,96,72,42,62,48,49,69,94,92,112,121
16,119,101,159,164,160,145,150,166,174,149,148,123,100,103,109,65,84,54,83,86,97,57,81,128
17,128,171,161,142,131,131,151,123,143,148,130,127,109,78,103,76,77,64,57,96,105,101,115,123
18,133,124,144,142,150,157,141,122,160,124,133,128,94,90,84,78,73,70,60,72,94,127,150,122
19,65,135,160,144,178,148,150,145,184,153,154,108,137,100,104,67,63,76,75,91,98,120,106,148
20,160,128,163,134,154,121,146,149,171,162,150,136,119,96,89,62,66,46,75,84,125,103,96,111
21,112,124,162,139,140,145,175,169,176,188,138,127,88,75,67,57,51,56,59,87,86,128,120,146
22,126,144,130,149,141,114,138,124,139,118,145,121,146,104,93,85,57,63,61,82,70,114,109,91
23,150,154,139,168,156,163,154,174,168,161,148,138,134,92,106,104,82,83,79,65,103,103,131,149
24,149,170,173,176,180,197,185,191,169,166,158,153,139,88,95,103,87,84,89,107,123,139,136,165
25,158,153,191,194,169,177,192,193,166,180,175,166,144,111,89,87,87,80,67,68,111,126,126,132
26,152,182,202,185,168,194,190,179,191,188,165,153,113,93,97,58,61,83,79,110,91,126,126,157
27,139,165,160,191,207,169,188,221,173,223,182,161,129,104,96,77,56,56,83,96,102,106,61,120
28,171,206,153,130,49,100,105,140,160,135,124,151,150,100,86,81,81,72,86,90,113,120,146,158
29,176,189,184,117,123,126,145,184,157,156,166,134,131,110,91,90,69,87,90,92,117,123,138,153
30,162,166,168,197,167,201,181,120,160,139,147,134,109,93,79,97,67,100,95,109,111,132,159,147
31,174,163,177,169,198,196,188,197,193,187,187,155,137,127,96,100,84,81,68,125,139,121,136,156
